@relation 'Desercion_Academica-weka.filters.AllFilter-weka.filters.unsupervised.attribute.Remove-R1-3,10-12'

@attribute Edad numeric
@attribute Semestre numeric
@attribute AsignaturasCursadas numeric
@attribute AsignaturasAprobadas numeric
@attribute CreditosCursados numeric
@attribute CreditosAprobados numeric
@attribute Estado {GRADUADO,DESERTOR,ACTIVO}

@data
32,10,25,25,25,25,GRADUADO
27,3,14,11,47,37,DESERTOR
31,2,8,7,27,24,DESERTOR
30,4,29,24,99,82,ACTIVO
35,1,6,6,18,18,DESERTOR
38,10,11,5,11,5,DESERTOR
34,4,23,20,63,55,DESERTOR
35,9,41,41,115,115,GRADUADO
21,3,8,5,27,17,ACTIVO
31,10,60,58,178,171,ACTIVO
37,1,6,5,18,15,DESERTOR
31,1,12,3,34,9,DESERTOR
32,5,35,30,97,83,ACTIVO
26,8,41,39,136,130,GRADUADO
35,7,40,39,135,134,ACTIVO
34,8,44,44,146,146,ACTIVO
20,3,17,15,57,50,ACTIVO
42,1,5,5,5,5,GRADUADO
58,10,10,10,11,11,GRADUADO
42,9,38,38,104,104,GRADUADO
33,6,44,26,113,69,DESERTOR
24,1,5,0,17,0,DESERTOR
27,1,5,5,19,19,ACTIVO
33,8,41,39,127,121,ACTIVO
29,9,31,31,87,87,GRADUADO
30,10,18,18,19,19,GRADUADO
19,4,21,20,70,67,ACTIVO
29,9,34,33,34,33,GRADUADO
29,9,54,53,144,141,GRADUADO
28,3,2,2,6,6,ACTIVO
20,3,5,4,17,13,ACTIVO
43,9,54,47,141,121,GRADUADO
23,3,9,6,30,20,ACTIVO
30,8,58,58,158,158,GRADUADO
21,3,12,12,41,41,ACTIVO
36,10,34,27,34,27,GRADUADO
28,2,16,12,44,34,DESERTOR
21,1,5,5,17,17,DESERTOR
23,2,28,9,91,31,DESERTOR
33,10,26,26,26,26,GRADUADO
26,5,31,31,103,103,ACTIVO
23,3,11,9,35,28,ACTIVO
34,10,5,5,5,5,GRADUADO
21,1,6,6,20,20,ACTIVO
26,2,15,9,46,26,DESERTOR
67,3,19,16,64,54,ACTIVO
22,3,5,5,16,16,ACTIVO
31,4,26,24,82,75,DESERTOR
22,3,16,16,53,53,ACTIVO
27,9,62,60,169,162,GRADUADO
27,9,62,60,169,162,GRADUADO
36,8,45,43,139,133,DESERTOR
36,8,45,43,139,133,DESERTOR
28,9,57,56,146,144,GRADUADO
28,5,37,30,114,94,ACTIVO
21,2,18,11,59,34,ACTIVO
21,6,40,40,137,137,ACTIVO
26,9,61,60,166,162,GRADUADO
36,9,37,35,103,97,GRADUADO
20,10,7,3,15,5,DESERTOR
19,2,5,5,16,16,ACTIVO
19,1,5,5,17,17,ACTIVO
28,1,6,2,18,6,DESERTOR
32,6,35,31,88,78,DESERTOR
25,1,5,0,16,0,DESERTOR
23,1,7,3,24,11,ACTIVO
26,3,11,6,28,13,DESERTOR
31,9,46,33,122,93,DESERTOR
11,10,17,17,17,17,GRADUADO
30,3,10,5,34,16,DESERTOR
42,7,40,32,112,90,DESERTOR
34,5,17,12,42,29,DESERTOR
20,5,32,32,105,105,ACTIVO
20,3,13,13,44,44,ACTIVO
30,9,42,40,113,109,GRADUADO
27,1,6,3,20,11,DESERTOR
27,9,64,63,167,164,GRADUADO
27,9,64,63,167,164,GRADUADO
32,9,57,56,146,144,GRADUADO
36,9,30,30,86,86,GRADUADO
25,1,9,7,31,24,ACTIVO
27,1,6,3,18,9,DESERTOR
35,1,5,0,17,0,ACTIVO
21,6,41,36,137,122,ACTIVO
40,1,4,2,12,6,DESERTOR
26,3,31,17,86,45,DESERTOR
18,2,10,9,34,31,ACTIVO
21,1,5,5,17,17,DESERTOR
23,3,17,12,58,40,ACTIVO
31,8,52,51,156,153,GRADUADO
22,1,5,5,17,17,DESERTOR
26,3,12,3,40,9,ACTIVO
26,1,9,1,29,3,DESERTOR
19,1,5,0,17,0,ACTIVO
26,9,66,59,181,161,GRADUADO
29,1,11,3,35,8,DESERTOR
28,8,62,56,187,170,GRADUADO
27,10,28,21,73,53,DESERTOR
22,6,52,33,173,108,ACTIVO
25,2,12,5,41,17,DESERTOR
24,5,50,33,157,102,ACTIVO
25,4,37,30,111,89,ACTIVO
23,3,24,17,81,58,ACTIVO
26,6,38,27,124,90,ACTIVO
24,8,56,50,169,150,ACTIVO
22,1,10,5,34,18,ACTIVO
24,10,76,67,192,167,GRADUADO
24,10,76,67,192,167,GRADUADO
21,1,5,0,17,0,DESERTOR
23,1,5,2,17,7,DESERTOR
24,1,8,3,26,11,ACTIVO
29,9,54,51,141,130,GRADUADO
24,1,4,0,14,0,DESERTOR
28,1,5,0,17,0,DESERTOR
26,3,37,16,118,54,ACTIVO
33,10,14,13,43,40,GRADUADO
31,1,6,0,17,0,DESERTOR
26,10,52,39,157,116,ACTIVO
23,3,18,16,59,52,ACTIVO
26,5,33,30,103,93,ACTIVO
29,8,44,42,137,130,ACTIVO
40,8,43,42,121,117,GRADUADO
39,9,26,20,69,50,GRADUADO
33,5,29,23,83,67,DESERTOR
34,10,26,20,64,58,GRADUADO
35,10,48,47,143,139,GRADUADO
35,10,48,47,143,139,GRADUADO
